ingenio,zafra,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_producida_total,azucar_producida_refinada,azucar_producida_estandar,azucar_producida_blanca_especial,azucar_producida_mascabado,rendimiento_campo,rendimiento_fabrica,rendimiento_agroindustrial,eficiencia_extraccion,anio_inicio
Adolfo López Mateos,2025-2026,58826.0,56463.691,883.141,4564.34,0.0,0.0,0.0,0.0,66.609975,7.759,8.08367274466701,95.9842433617788,2025
Alianza Popular,2025-2026,158690.0,152213.427,2298.01,15711.325,0.0,15711.325,0.0,0.0,69.0554,9.9006,10.321904781764097,95.91872644779129,2025
Atencingo,2025-2026,489262.3,481923.481,4126.324,57437.5,0.0,57437.5,0.0,0.0,118.570984,11.7396,11.918385856778785,98.50002360696911,2025
Bellavista,2025-2026,112282.83,108803.759,1236.22,10062.9,0.0,10062.9,0.0,0.0,90.827546,8.9621,9.24866943245959,96.90151112151342,2025
Central Casasano,2025-2026,143773.362,143624.124,1313.57,17187.0,0.0,17187.0,0.0,0.0,109.452379,11.9542,11.966652621672386,99.89619913040639,2025
Central El Potrero,2025-2026,136611.498,132747.622,1770.667,9360.0,9360.0,0.0,0.0,0.0,77.152563,6.8515,7.0509737643360575,97.17163192222664,2025
Central La Providencia,2025-2026,115937.41,112470.297,1636.9,8753.73,0.0,8753.73,0.0,0.0,70.827423,7.5503,7.78314829203305,97.00949589955476,2025
Central Motzorongo,2025-2026,68208.0,65862.029,1048.49,2536.055,0.0,776.575,0.0,0.0,65.053553,3.7181,3.850557048584094,96.56056327703494,2025
Central San Miguelito,2025-2026,30690.93,29419.353,340.38,2178.125,0.0,2178.125,0.0,0.0,90.166666,7.0969,7.403714826767264,95.85683131791704,2025
Constancia,2025-2026,62119.18,59268.859,1325.34,3027.0,0.0,3027.0,0.0,0.0,46.870372,4.8728,5.107235150249814,95.41152829126204,2025
Cía. La Fe (Pujiltic),2025-2026,462704.0,455763.0,4621.75,54229.98,0.0,54229.98,0.0,0.0,100.114458,11.7202,11.89872367875409,98.49990490680868,2025
El Higo,2025-2026,122212.0,111122.309,1537.68,9346.361201,0.0,9346.361201,0.0,0.0,79.478174,7.6476,8.410877424262306,90.92585752626583,2025
El Mante,2025-2026,295519.96,269569.52,3468.633,25814.236,4340.0,21474.236,0.0,0.0,85.197817,8.7351,9.576095991861393,91.21871835662134,2025
El Modelo,2025-2026,104800.255,100716.999,1203.002,7141.745,0.0,7141.745,0.0,0.0,87.115611,6.8146,7.090903294288981,96.10377283910235,2025
El Molino,2025-2026,142945.93,0.0,1796.05,13265.2,0.0,13265.2,0.0,0.0,79.589059,9.2798,0.0,0.0,2025
Emiliano Zapata,2025-2026,234669.28,234669.28,2177.81,28845.95,0.0,28845.95,0.0,0.0,107.754707,12.2921,12.292171348546347,100.0,2025
Huixtla,2025-2026,267090.0,235389.787,2715.032,21903.73,0.0,6742.5,0.0,0.0,98.374531,8.2008,9.305301763155935,88.13126174697668,2025
José María Morelos,2025-2026,90943.55,84270.626,1045.448,7820.3,0.0,7820.3,0.0,0.0,86.990027,8.599,9.279983276735122,92.6625648547918,2025
La Gloria,2025-2026,154192.19,149366.625,1665.16,10931.833,0.0,10931.833,0.0,0.0,92.599023,7.0897,7.3187922670141345,96.87042190658295,2025
La Joya,2025-2026,103008.586,95974.172,1425.836,8291.5,0.0,8291.5,0.0,0.0,72.244343,8.0493,8.63930349927895,93.17104110136995,2025
La Margarita,2025-2026,142568.5,136910.433,3338.29,13332.164,0.0,11084.175,0.0,0.0,42.707044,9.3514,9.737872934782116,96.03133441117778,2025
Lázaro Cárdenas - Siembra,2025-2026,42995.0,42072.19,525.451,3900.0,3633.0,267.0,0.0,0.0,81.824946,9.0708,9.269781297336792,97.85368066054193,2025
Mahuixtlán,2025-2026,103920.0,97684.8,1234.442,9687.0,0.0,9687.0,0.0,0.0,84.183785,9.3215,9.916588865412018,94.0,2025
Melchor Ocampo,2025-2026,351475.0,336669.924,3228.71,39661.683,0.0,39661.683,0.0,0.0,108.859265,11.2843,11.780583940726466,95.78772999502098,2025
Pedernales,2025-2026,52760.84,51705.623,608.6,4907.425,0.0,4907.425,0.0,0.0,86.692145,9.3012,9.491085718085246,97.99999962093099,2025
Plan de Ayala,2025-2026,78441.0,74722.919,1270.05,5202.45,5202.45,0.0,0.0,0.0,61.762135,6.6323,6.96232169409763,95.26002855649467,2025
Plan de San Luis,2025-2026,148388.79,141029.774,2002.0,12727.25,12727.25,0.0,0.0,0.0,74.120274,8.5769,9.024512795432829,95.04071972013519,2025
Puga,2025-2026,130506.822,125252.985,1887.87,10276.231,10276.231,0.0,0.0,0.0,69.129136,7.874,8.204380119164426,95.97428171226176,2025
Pánuco,2025-2026,292979.33,267828.145,3632.89,24846.92,0.0,23135.48,0.0,0.0,80.646353,8.4807,9.277187802648596,91.41537220390258,2025
Quesería,2025-2026,179504.0,174117.323,1861.743,17216.25,0.0,17216.25,0.0,0.0,96.417174,9.591,9.887729551183142,96.99913260985828,2025
San Cristóbal,2025-2026,71144.71,68625.499,999.785,4030.879,0.0,4030.879,0.0,0.0,71.160009,5.6657,5.873733610301326,96.4590325830269,2025
San Francisco Ameca,2025-2026,193825.0,187175.436,1801.77,18109.5,0.0,11713.5,6396.0,0.0,107.574773,9.3432,9.675147758170576,96.56929498258738,2025
San José de Abajo,2025-2026,42353.23,40887.269,628.477,2607.9,0.0,2607.9,0.0,0.0,67.390262,6.1574,6.378268991259847,96.53872679840474,2025
San Miguel del Naranjo,2025-2026,80828.2,75740.835,1388.8,6688.5,0.0,6688.5,0.0,0.0,58.200028,8.2749,8.8307714062038,93.70595287288349,2025
San Nicolás,2025-2026,14918.4,14057.129,209.0,702.725,0.0,0.0,0.0,0.0,71.379904,4.7104,4.999064887289574,94.22678705491207,2025
San Pedro,2025-2026,123502.0,119451.745,1514.8,7997.65,0.0,7997.65,0.0,0.0,81.530235,6.4757,6.695297753917282,96.72049440494891,2025
Santa Clara,2025-2026,64877.0,61988.4,814.45,5765.0,0.0,5765.0,0.0,0.0,79.657437,8.886,9.30012712055804,95.54757464124421,2025
Santa Rosalía,2025-2026,85205.62,82776.683,1252.103,7495.5,0.0,0.0,0.0,7495.5,68.050008,8.7969,9.055086201025958,97.14932301413923,2025
Tala - Siembra,2025-2026,338467.92,323553.678,3733.79,31382.0,13874.325,17023.175,484.5,0.0,90.649961,9.2717,9.699163425983368,95.59360248971306,2025
Tres Valles,2025-2026,229455.0,221493.702,3280.068,17970.35,17970.35,0.0,0.0,0.0,69.954342,7.8317,8.11325551820882,96.5303445119958,2025
aaron saenz garza,2015-2016,830024.85,755158.289,11461.0,85602.1,58094.9,27507.2,0.0,0.0,0.0,0.0,11.33564992226418,90.98020246020346,2015
aaron saenz garza,2016-2017,1006905.02,921405.2761,15898.25,101990.55,77319.3,24671.25,0.0,0.0,0.0,0.0,11.069021704726051,91.50865849293312,2016
aaron saenz garza,2017-2018,974656.5701,894857.2041,15712.0,110501.15,31305.1,79196.049,0.0,0.0,62.032622,11.3374,12.348467386049174,91.81256573360885,2017
aaron saenz garza,2018-2019,1026915.73,949266.5281,13371.0,111720.4,35949.05,75771.35,0.0,0.0,76.801714,10.8792,11.769128763405726,92.43860040005426,2018
aaron saenz garza,2019-2020,910254.22,836450.381,17885.75,94778.773,4129.9,67194.9,0.0,0.0,50.892706,10.4123,11.331069379954052,91.89195310734183,2019
adolfo lopez mateos,2015-2016,1702820.345,1615300.89,28410.99,189587.45,189587.45,0.0,0.0,0.0,0.0,0.0,11.736974279757874,94.86032362386413,2015
adolfo lopez mateos,2016-2017,1595032.89,1502738.745,29353.82,168650.1,168650.1,0.0,0.0,0.0,0.0,0.0,11.222848985636555,94.21365254731519,2016
adolfo lopez mateos,2017-2018,1486657.79,1411543.088,26052.15,158424.2,158424.2,0.0,0.0,0.0,57.064687,10.6563,11.22347602045004,94.94741140124789,2017
adolfo lopez mateos,2018-2019,1662190.0,1586240.613,26844.166,170462.6,170462.6,0.0,0.0,0.0,61.919971,10.2553,10.746326793235372,95.43076381159794,2018
adolfo lopez mateos,2019-2020,1579182.21,0.0,26567.53,150537.05,145453.35,5083.7,0.0,0.0,59.440309,9.5325,0.0,0.0,2019
adolfo lopez mateos,2020-2021,1446821.32,1374758.887,23249.96,139018.025,139018.025,0.0,0.0,0.0,62.228981,9.6085,10.112175037716268,95.01925828684914,2020
adolfo lopez mateos,2021-2022,1541843.647,1488425.748,23832.28,164544.95,96788.0,67756.95,0.0,0.0,64.695599,10.6719,11.054965302844252,96.53545292326258,2021
adolfo lopez mateos,2022-2023,1354059.43,1307537.444,23848.86,139172.161,100517.0,9741.9,0.0,0.0,56.776694,10.2781,10.643837515983213,96.56425818769269,2022
